crime_code,latitude,longitude,crime_type,crime_mode,crime_description,time,place,crime_domain
388,15.2993,74.1240,SEXUAL ASSAULT,Physical,Beach harassment,2024-09-14 17:25,Goa,Violent Crime
423,30.7333,76.7794,ROBBERY,Physical,Government office robbery,2024-09-15 11:40,Chandigarh,Violent Crime
399,25.5941,85.1376,ILLEGAL POSSESSION,Weapon,Country-made pistol,2024-09-16 19:15,Patna,Other Crime
432,31.1048,77.1734,EXTORTION,Threat,Hotel extortion,2024-09-17 15:30,Shimla,Other Crime
262,34.0837,74.7973,IDENTITY THEFT,Online,Army recruitment fraud,2024-09-18 08:45,Srinagar,Violent Crime
151,27.0238,88.2636,EXTORTION,Threat,Border trade extortion,2024-09-19 13:20,Gangtok,Other Crime
366,24.5854,73.7125,KIDNAPPING,Physical,Palace area kidnapping,2024-09-20 21:10,Udaipur,Other Crime
542,32.7266,74.8570,BURGLARY,Breaking,Army camp burglary,2024-09-21 05:35,Jammu,Other Crime
145,8.5241,76.9366,COUNTERFEITING,Financial,Spice export fraud,2024-09-22 12:15,Thiruvananthapuram,Other Crime
142,9.9312,76.2673,IDENTITY THEFT,Online,Port worker ID fraud,2024-09-23 16:50,Kochi,Violent Crime
261,18.5204,73.8567,SEXUAL ASSAULT,Physical,IT park harassment,2024-09-24 14:25,Pune,Violent Crime
152,20.2961,85.8245,COUNTERFEITING,Financial,Temple donation fraud,2024-09-25 10:40,Bhubaneswar,Other Crime
430,25.4358,81.8463,IDENTITY THEFT,Online,University admission fraud,2024-09-26 17:15,Allahabad,Violent Crime
203,26.8467,80.9462,ILLEGAL POSSESSION,Drug,Opium possession,2024-09-27 13:30,Lucknow,Other Crime
508,23.0225,72.5714,KIDNAPPING,Physical,Business kidnapping,2024-09-28 20:45,Ahmedabad,Other Crime
590,28.4595,77.0266,ROBBERY,Physical,Mall robbery,2024-09-29 18:20,Gurgaon,Violent Crime
491,28.7041,77.1025,SHOPLIFTING,Theft,Electronics store theft,2024-09-30 11:35,Delhi,Other Crime
586,29.9457,78.1642,DRUG OFFENSE,Substance,Charas smuggling,2024-10-01 15:50,Dehradun,Other Crime
292,30.3165,78.0322,PUBLIC INTOXICATION,Substance,River rafting drinking,2024-10-02 09:25,Rishikesh,Other Crime
584,24.7136,84.9900,IDENTITY THEFT,Online,Pilgrimage fraud,2024-10-03 14:10,Gaya,Violent Crime
515,25.5941,85.1376,VEHICLE - STOLEN,Theft,Government vehicle theft,2024-10-04 07:45,Patna,Violent Crime
350,22.7196,75.8577,TRAFFIC VIOLATION,Vehicle,Commercial vehicle violation,2024-10-05 16:30,Indore,Traffic Fatality
546,19.9975,73.7898,ASSAULT,Physical,Wine shop assault,2024-10-06 12:55,Nashik,Violent Crime
115,21.2787,81.8661,ASSAULT,Physical,Mining area assault,2024-10-07 19:40,Raipur,Violent Crime
254,16.5062,80.6480,TRAFFIC VIOLATION,Vehicle,Ferry accident,2024-10-08 06:20,Vijayawada,Traffic Fatality
410,15.3173,75.7139,TRAFFIC VIOLATION,Vehicle,Highway speeding,2024-10-09 13:45,Belgaum,Traffic Fatality
217,14.5204,75.7224,KIDNAPPING,Physical,Student kidnapping,2024-10-10 10:15,Hubli,Other Crime
189,11.0168,76.9558,FIREARM OFFENSE,Weapon,Factory firing,2024-10-11 17:25,Coimbatore,Fire Accident
180,10.8505,76.2711,FRAUD,Financial,Ayurveda medicine fraud,2024-10-12 14:40,Thrissur,Other Crime
215,9.9252,78.1198,BURGLARY,Breaking,Temple burglary,2024-10-13 02:15,Madurai,Other Crime
481,8.0883,77.0514,ARSON,Physical,Coconut grove arson,2024-10-14 04:30,Kanyakumari,Fire Accident
577,12.2958,76.6394,ASSAULT,Physical,Silk factory assault,2024-10-15 11:20,Mysore,Violent Crime
212,13.3409,74.7421,SHOPLIFTING,Theft,Spice market theft,2024-10-16 16:35,Mangalore,Other Crime
244,15.8281,74.4978,VEHICLE - STOLEN,Theft,Tourist vehicle theft,2024-10-17 08:50,Goa,Violent Crime
363,14.6869,74.8370,IDENTITY THEFT,Online,Casino membership fraud,2024-10-18 21:15,Panaji,Violent Crime
550,18.1124,83.3957,ILLEGAL POSSESSION,Weapon,Fishing spear misuse,2024-10-19 13:25,Berhampur,Other Crime
484,20.9517,84.9709,EXTORTION,Threat,Port extortion,2024-10-20 18:10,Cuttack,Other Crime
515,25.3176,82.9739,SHOPLIFTING,Theft,Railway station theft,2024-10-21 07:40,Varanasi,Other Crime
307,25.4484,78.5685,BURGLARY,Breaking,Fort area burglary,2024-10-22 03:55,Jhansi,Other Crime
289,26.2389,73.0243,BURGLARY,Breaking,Desert resort burglary,2024-10-23 01:20,Jodhpur,Other Crime
562,27.1767,78.0081,ASSAULT,Physical,Taj Mahal area assault,2024-10-24 15:45,Agra,Violent Crime
568,28.0229,73.3119,DOMESTIC VIOLENCE,Physical,Camel trader violence,2024-10-25 12:30,Bikaner,Violent Crime
262,29.0588,76.0856,VANDALISM,Physical,Agricultural equipment vandalism,2024-10-26 17:20,Karnal,Other Crime
546,30.9010,75.8573,TRAFFIC VIOLATION,Vehicle,Tractor accident,2024-10-27 09:15,Ludhiana,Traffic Fatality
199,31.6340,74.8723,IDENTITY THEFT,Online,Gurudwara donation fraud,2024-10-28 14:50,Amritsar,Violent Crime
513,32.7266,74.8570,SEXUAL ASSAULT,Physical,Military area assault,2024-10-29 20:35,Jammu,Violent Crime
256,33.7782,76.5762,ROBBERY,Physical,Monastery robbery,2024-10-30 11:25,Leh,Violent Crime
390,24.8607,67.0011,IDENTITY THEFT,Online,Shipping document fraud,2024-10-31 16:40,Karachi,Violent Crime
206,25.3960,68.3578,ARSON,Physical,Cotton field arson,2024-11-01 22:15,Hyderabad,Fire Accident
491,26.8206,67.0278,DOMESTIC VIOLENCE,Physical,Feudal violence,2024-11-02 18:30,Sukkur,Violent Crime
139,27.7103,68.8575,PUBLIC INTOXICATION,Substance,Harvest celebration drinking,2024-11-03 21:45,Larkana,Other Crime
126,24.8615,67.0099,TRAFFIC VIOLATION,Vehicle,Donkey cart accident,2024-11-04 06:20,Karachi,Traffic Fatality
431,25.3792,68.3683,FIREARM OFFENSE,Weapon,Tribal weapon firing,2024-11-05 19:10,Hyderabad,Fire Accident
528,26.2540,68.4579,TRAFFIC VIOLATION,Vehicle,Camel cart collision,2024-11-06 08:35,Nawabshah,Traffic Fatality
282,27.5530,68.2177,COUNTERFEITING,Financial,Land record forgery,2024-11-07 13:50,Shikarpur,Other Crime
577,24.9056,67.0822,SEXUAL ASSAULT,Physical,Factory worker harassment,2024-11-08 15:25,Karachi,Violent Crime
494,25.3784,68.3672,DOMESTIC VIOLENCE,Physical,Arranged marriage violence,2024-11-09 10:40,Hyderabad,Violent Crime
395,26.8753,68.0211,DRUG OFFENSE,Substance,Poppy cultivation,2024-11-10 17:55,Sukkur,Other Crime
276,27.8974,68.5247,ARSON,Physical,Wheat field arson,2024-11-11 04:20,Jacobabad,Fire Accident
560,28.3949,84.1240,DRUG OFFENSE,Substance,Hashish trafficking,2024-11-12 12:15,Kathmandu,Other Crime
217,27.7172,85.3240,ASSAULT,Physical,Trekking guide assault,2024-11-13 16:30,Pokhara,Violent Crime
389,26.4499,87.2718,BURGLARY,Breaking,Tea garden burglary,2024-11-14 02:45,Biratnagar,Other Crime
361,27.5916,83.9956,BURGLARY,Breaking,Monastery burglary,2024-11-15 05:10,Bharatpur,Other Crime
269,28.2096,83.9856,DOMESTIC VIOLENCE,Physical,Polygamy violence,2024-11-16 18:25,Butwal,Violent Crime
106,27.6710,85.4298,COUNTERFEITING,Financial,Mountaineering certificate forgery,2024-11-17 14:40,Lalitpur,Other Crime
330,23.8103,90.4125,VANDALISM,Physical,Liberation War memorial vandalism,2024-11-18 11:15,Dhaka,Other Crime
190,22.3569,91.7832,ARSON,Physical,Shipyard arson,2024-11-19 20:50,Chittagong,Fire Accident
446,24.3636,88.6241,FRAUD,Financial,Silk trade fraud,2024-11-20 13:35,Rajshahi,Other Crime
503,23.4607,91.1809,TRAFFIC VIOLATION,Vehicle,Rickshaw accident,2024-11-21 07:20,Comilla,Traffic Fatality
471,22.8456,89.5403,ARSON,Physical,Shrimp farm arson,2024-11-22 03:40,Khulna,Fire Accident
526,24.9045,91.8611,FRAUD,Financial,Tea garden worker fraud,2024-11-23 15:55,Sylhet,Other Crime
589,25.7439,89.2752,SHOPLIFTING,Theft,Border market theft,2024-11-24 12:10,Rangpur,Other Crime
344,6.9271,79.8612,VANDALISM,Physical,Cricket ground vandalism,2024-11-25 17:30,Colombo,Other Crime
470,7.8731,80.7718,ROBBERY,Physical,Spice warehouse robbery,2024-11-26 09:45,Kandy,Violent Crime
506,8.3114,80.4037,BURGLARY,Breaking,Coconut processing plant burglary,2024-11-27 22:20,Kurunegala,Other Crime
187,9.6615,80.0255,ARSON,Physical,Fishing boat arson,2024-11-28 01:15,Jaffna,Fire Accident
570,6.0535,80.2210,DRUG OFFENSE,Substance,Betel leaf drug smuggling,2024-11-29 16:25,Galle,Other Crime
358,7.2906,80.6337,ARSON,Physical,Cinnamon factory arson,2024-11-30 11:50,Matara,Fire Accident
586,28.6139,77.2090,ILLEGAL POSSESSION,Weapon,Unlicensed security weapon,2024-12-01 14:35,New Delhi,Other Crime
534,19.0760,72.8777,COUNTERFEITING,Financial,Movie ticket fraud,2024-12-02 19:20,Mumbai,Other Crime
225,13.0827,80.2707,VANDALISM,Physical,Marina beach vandalism,2024-12-03 08:10,Chennai,Other Crime
331,22.5726,88.3639,SHOPLIFTING,Theft,Book fair theft,2024-12-04 13:45,Kolkata,Other Crime
359,23.2599,77.4126,SHOPLIFTING,Theft,Handicraft theft,2024-12-05 10:30,Bhopal,Other Crime
574,17.3850,78.4867,COUNTERFEITING,Financial,Software license forgery,2024-12-06 16:15,Hyderabad,Other Crime
477,12.9716,77.5946,SEXUAL ASSAULT,Physical,Tech park harassment,2024-12-07 12:40,Bangalore,Violent Crime
419,26.9124,75.7873,DOMESTIC VIOLENCE,Physical,Tourist guide violence,2024-12-08 18:55,Jaipur,Violent Crime
167,21.1458,79.0882,PUBLIC INTOXICATION,Substance,Mining camp drinking,2024-12-09 21:30,Nagpur,Other Crime
101,15.2993,74.1240,ROBBERY,Physical,Casino robbery,2024-12-10 02:45,Goa,Violent Crime
356,30.7333,76.7794,KIDNAPPING,Physical,Political kidnapping,2024-12-11 07:15,Chandigarh,Other Crime
390,25.5941,85.1376,CYBERCRIME,Online,Government portal hacking,2024-12-12 14:20,Patna,Other Crime
559,31.1048,77.1734,ASSAULT,Physical,Hill station assault,2024-12-13 11:45,Shimla,Violent Crime
344,34.0837,74.7973,SEXUAL ASSAULT,Physical,Tourist harassment,2024-12-14 17:10,Srinagar,Violent Crime
385,27.0238,88.2636,BURGLARY,Breaking,Monastery burglary,2024-12-15 04:25,Gangtok,Other Crime
236,24.5854,73.7125,DOMESTIC VIOLENCE,Physical,Royal family dispute,2024-12-16 20:40,Udaipur,Violent Crime
277,32.7266,74.8570,ILLEGAL POSSESSION,Weapon,Militant weapon cache,2024-12-17 15:55,Jammu,Other Crime
343,8.5241,76.9366,TRAFFIC VIOLATION,Vehicle,Tourist bus accident,2024-12-18 09:30,Thiruvananthapuram,Traffic Fatality
387,9.9312,76.2673,PUBLIC INTOXICATION,Substance,Port worker drinking,2024-12-19 22:15,Kochi,Other Crime
168,18.5204,73.8567,VEHICLE - STOLEN,Theft,Software company car theft,2024-12-20 06:50,Pune,Violent Crime
270,20.2961,85.8245,CYBERCRIME,Online,Temple donation fraud,2024-12-21 13:25,Bhubaneswar,Other Crime
205,25.4358,81.8463,ILLEGAL POSSESSION,Drug,University drug possession,2024-12-22 18:40,Allahabad,Other Crime
272,26.8467,80.9462,EXTORTION,Threat,Government office extortion,2024-12-23 11:15,Lucknow,Other Crime
226,23.0225,72.5714,HOMICIDE,Physical,Industrial dispute murder,2024-12-24 16:30,Ahmedabad,Other Crime
562,28.4595,77.0266,BURGLARY,Breaking,Corporate office burglary,2024-12-25 03:45,Gurgaon,Other Crime
328,28.7041,77.1025,CYBERCRIME,Online,Government website hacking,2024-12-26 12:20,Delhi,Other Crime
224,29.9457,78.1642,DRUG OFFENSE,Substance,Tourist drug possession,2024-12-27 17:35,Dehradun,Other Crime
503,30.3165,78.0322,ASSAULT,Physical,Adventure sport assault,2024-12-28 14:50,Rishikesh,Violent Crime
418,24.7136,84.9900,BURGLARY,Breaking,Religious site burglary,2024-12-29 08:15,Gaya,Other Crime
568,25.5941,85.1376,ILLEGAL POSSESSION,Weapon,Political rally weapon,2024-12-30 19:25,Patna,Other Crime
562,22.7196,75.8577,BURGLARY,Breaking,Commercial complex burglary,2024-12-31 01:40,Indore,Other Crime
