crime_code,crime_description,crime_domain
167,ASSAULT,Violent Crime
546,BURGLARY,Other Crime
504,BURGLARY,Other Crime
326,IDENTITY THEFT,Violent Crime
374,FIREARM OFFENSE,Fire Accident
297,ARSON,Fire Accident
184,SHOPLIFTING,Other Crime
448,TRAFFIC VIOLATION,Traffic Fatality
554,KIDNAPPING,Other Crime
168,DRUG OFFENSE,Other Crime
547,IDENTITY THEFT,Violent Crime
212,CYBERCRIME,Other Crime
253,KIDNAPPING,Other Crime
204,EXTORTION,Other Crime
175,COUNTERFEITING,Other Crime
582,IDENTITY THEFT,Violent Crime
541,VEHICLE - STOLEN,Violent Crime
348,ASSAULT,Violent Crime
237,VANDALISM,Other Crime
587,SHOPLIFTING,Other Crime
219,ARSON,Fire Accident
568,KIDNAPPING,Other Crime
416,BURGLARY,Other Crime
456,PUBLIC INTOXICATION,Other Crime
225,TRAFFIC VIOLATION,Traffic Fatality
158,DOMESTIC VIOLENCE,Violent Crime
516,IDENTITY THEFT,Violent Crime
343,COUNTERFEITING,Other Crime
579,PUBLIC INTOXICATION,Other Crime
135,DOMESTIC VIOLENCE,Violent Crime
285,COUNTERFEITING,Other Crime
452,SHOPLIFTING,Other Crime
110,IDENTITY THEFT,Violent Crime
130,EXTORTION,Other Crime
543,ARSON,Fire Accident
337,SHOPLIFTING,Other Crime
567,CYBERCRIME,Other Crime
123,EXTORTION,Other Crime
526,SHOPLIFTING,Other Crime
450,FRAUD,Other Crime
107,ASSAULT,Violent Crime
193,FIREARM OFFENSE,Fire Accident
426,CYBERCRIME,Other Crime
563,HOMICIDE,Other Crime
422,VANDALISM,Other Crime
451,EXTORTION,Other Crime
267,ILLEGAL POSSESSION,Other Crime
475,VEHICLE - STOLEN,Violent Crime
245,SHOPLIFTING,Other Crime
117,DOMESTIC VIOLENCE,Violent Crime
405,EXTORTION,Other Crime
176,VEHICLE - STOLEN,Violent Crime
306,EXTORTION,Other Crime
417,FIREARM OFFENSE,Fire Accident
464,ASSAULT,Violent Crime
546,COUNTERFEITING,Other Crime
295,PUBLIC INTOXICATION,Other Crime
168,PUBLIC INTOXICATION,Other Crime
360,COUNTERFEITING,Other Crime
227,ASSAULT,Violent Crime
172,VEHICLE - STOLEN,Violent Crime
419,BURGLARY,Other Crime
569,DOMESTIC VIOLENCE,Violent Crime
412,HOMICIDE,Other Crime
229,KIDNAPPING,Other Crime
286,ROBBERY,Violent Crime
347,DOMESTIC VIOLENCE,Violent Crime
159,IDENTITY THEFT,Violent Crime
305,VEHICLE - STOLEN,Violent Crime
534,DOMESTIC VIOLENCE,Violent Crime
281,TRAFFIC VIOLATION,Traffic Fatality
101,FIREARM OFFENSE,Fire Accident
239,ROBBERY,Violent Crime
385,CYBERCRIME,Other Crime
222,CYBERCRIME,Other Crime
537,IDENTITY THEFT,Violent Crime
527,VEHICLE - STOLEN,Violent Crime
243,EXTORTION,Other Crime
224,COUNTERFEITING,Other Crime
158,FIREARM OFFENSE,Fire Accident
190,FRAUD,Other Crime
253,CYBERCRIME,Other Crime
231,FRAUD,Other Crime
427,ASSAULT,Violent Crime
382,TRAFFIC VIOLATION,Traffic Fatality
288,ARSON,Fire Accident
354,DRUG OFFENSE,Other Crime
210,BURGLARY,Other Crime
316,DOMESTIC VIOLENCE,Violent Crime
447,FRAUD,Other Crime
103,KIDNAPPING,Other Crime
321,ASSAULT,Violent Crime
152,SHOPLIFTING,Other Crime
597,FRAUD,Other Crime
406,ASSAULT,Violent Crime
366,CYBERCRIME,Other Crime
380,EXTORTION,Other Crime
453,ARSON,Fire Accident
393,BURGLARY,Other Crime
103,VEHICLE - STOLEN,Violent Crime
386,CYBERCRIME,Other Crime
178,ROBBERY,Violent Crime
408,VANDALISM,Other Crime
422,ILLEGAL POSSESSION,Other Crime
104,TRAFFIC VIOLATION,Traffic Fatality
431,DOMESTIC VIOLENCE,Violent Crime
313,KIDNAPPING,Other Crime
540,ILLEGAL POSSESSION,Other Crime
183,KIDNAPPING,Other Crime
469,VANDALISM,Other Crime
368,BURGLARY,Other Crime
589,ILLEGAL POSSESSION,Other Crime
405,VANDALISM,Other Crime
348,BURGLARY,Other Crime
560,SEXUAL ASSAULT,Violent Crime
160,ROBBERY,Violent Crime
467,DOMESTIC VIOLENCE,Violent Crime
330,ILLEGAL POSSESSION,Other Crime
516,PUBLIC INTOXICATION,Other Crime
412,TRAFFIC VIOLATION,Traffic Fatality
183,SEXUAL ASSAULT,Violent Crime
190,PUBLIC INTOXICATION,Other Crime
281,FIREARM OFFENSE,Fire Accident
379,IDENTITY THEFT,Violent Crime
397,DRUG OFFENSE,Other Crime
175,SHOPLIFTING,Other Crime
230,ILLEGAL POSSESSION,Other Crime
142,VEHICLE - STOLEN,Violent Crime
179,PUBLIC INTOXICATION,Other Crime
300,ASSAULT,Violent Crime
488,COUNTERFEITING,Other Crime
393,PUBLIC INTOXICATION,Other Crime
347,EXTORTION,Other Crime
170,CYBERCRIME,Other Crime
456,DOMESTIC VIOLENCE,Violent Crime
577,ASSAULT,Violent Crime
412,BURGLARY,Other Crime
223,FRAUD,Other Crime
458,DOMESTIC VIOLENCE,Violent Crime
290,DOMESTIC VIOLENCE,Violent Crime
581,CYBERCRIME,Other Crime
311,DRUG OFFENSE,Other Crime
552,ROBBERY,Violent Crime
597,VANDALISM,Other Crime
423,ILLEGAL POSSESSION,Other Crime
287,ROBBERY,Violent Crime
405,FIREARM OFFENSE,Fire Accident
591,FIREARM OFFENSE,Fire Accident
576,CYBERCRIME,Other Crime
453,VANDALISM,Other Crime
359,TRAFFIC VIOLATION,Traffic Fatality
360,FRAUD,Other Crime
379,DRUG OFFENSE,Other Crime
162,KIDNAPPING,Other Crime
261,VEHICLE - STOLEN,Violent Crime
183,IDENTITY THEFT,Violent Crime
226,HOMICIDE,Other Crime
359,TRAFFIC VIOLATION,Traffic Fatality
466,FRAUD,Other Crime
113,ILLEGAL POSSESSION,Other Crime
535,EXTORTION,Other Crime
310,ILLEGAL POSSESSION,Other Crime
395,DOMESTIC VIOLENCE,Violent Crime
574,VANDALISM,Other Crime
384,ASSAULT,Violent Crime
445,VEHICLE - STOLEN,Violent Crime
376,IDENTITY THEFT,Violent Crime
204,COUNTERFEITING,Other Crime
525,ILLEGAL POSSESSION,Other Crime
421,VEHICLE - STOLEN,Violent Crime
401,FRAUD,Other Crime
255,DRUG OFFENSE,Other Crime
547,FIREARM OFFENSE,Fire Accident
112,ILLEGAL POSSESSION,Other Crime
258,TRAFFIC VIOLATION,Traffic Fatality
250,PUBLIC INTOXICATION,Other Crime
166,HOMICIDE,Other Crime
205,ILLEGAL POSSESSION,Other Crime
486,FIREARM OFFENSE,Fire Accident
303,ROBBERY,Violent Crime
131,DOMESTIC VIOLENCE,Violent Crime
303,DOMESTIC VIOLENCE,Violent Crime
299,DRUG OFFENSE,Other Crime
496,SHOPLIFTING,Other Crime
363,ASSAULT,Violent Crime
282,COUNTERFEITING,Other Crime
253,TRAFFIC VIOLATION,Traffic Fatality
503,DRUG OFFENSE,Other Crime
220,HOMICIDE,Other Crime
423,CYBERCRIME,Other Crime
178,CYBERCRIME,Other Crime
455,SEXUAL ASSAULT,Violent Crime
350,PUBLIC INTOXICATION,Other Crime
223,SHOPLIFTING,Other Crime
160,SEXUAL ASSAULT,Violent Crime
552,FRAUD,Other Crime
222,PUBLIC INTOXICATION,Other Crime
133,ROBBERY,Violent Crime
386,DOMESTIC VIOLENCE,Violent Crime
165,ROBBERY,Violent Crime
161,SEXUAL ASSAULT,Violent Crime
296,TRAFFIC VIOLATION,Traffic Fatality
342,ILLEGAL POSSESSION,Other Crime
150,DRUG OFFENSE,Other Crime
372,HOMICIDE,Other Crime
548,KIDNAPPING,Other Crime
175,HOMICIDE,Other Crime
570,DRUG OFFENSE,Other Crime
509,ARSON,Fire Accident
550,DRUG OFFENSE,Other Crime
235,SEXUAL ASSAULT,Violent Crime
211,ROBBERY,Violent Crime
294,SEXUAL ASSAULT,Violent Crime
239,DRUG OFFENSE,Other Crime
445,ILLEGAL POSSESSION,Other Crime
325,ROBBERY,Violent Crime
174,KIDNAPPING,Other Crime
307,DRUG OFFENSE,Other Crime
568,ARSON,Fire Accident
363,EXTORTION,Other Crime
492,COUNTERFEITING,Other Crime
196,FIREARM OFFENSE,Fire Accident
463,SHOPLIFTING,Other Crime
334,ARSON,Fire Accident
361,HOMICIDE,Other Crime
230,IDENTITY THEFT,Violent Crime
599,IDENTITY THEFT,Violent Crime
545,DRUG OFFENSE,Other Crime
573,IDENTITY THEFT,Violent Crime
270,FRAUD,Other Crime
186,PUBLIC INTOXICATION,Other Crime
434,VANDALISM,Other Crime
348,FIREARM OFFENSE,Fire Accident
133,KIDNAPPING,Other Crime
490,VEHICLE - STOLEN,Violent Crime
118,VEHICLE - STOLEN,Violent Crime
587,ILLEGAL POSSESSION,Other Crime
265,BURGLARY,Other Crime
105,ROBBERY,Violent Crime
259,VANDALISM,Other Crime
510,ILLEGAL POSSESSION,Other Crime
435,VANDALISM,Other Crime
331,ROBBERY,Violent Crime
297,TRAFFIC VIOLATION,Traffic Fatality
148,IDENTITY THEFT,Violent Crime
132,HOMICIDE,Other Crime
492,DOMESTIC VIOLENCE,Violent Crime
451,CYBERCRIME,Other Crime
265,BURGLARY,Other Crime
445,PUBLIC INTOXICATION,Other Crime
403,HOMICIDE,Other Crime
480,ILLEGAL POSSESSION,Other Crime
200,DRUG OFFENSE,Other Crime
221,PUBLIC INTOXICATION,Other Crime
132,FRAUD,Other Crime
315,DRUG OFFENSE,Other Crime
485,ROBBERY,Violent Crime
519,DRUG OFFENSE,Other Crime
424,VANDALISM,Other Crime
540,PUBLIC INTOXICATION,Other Crime
171,DRUG OFFENSE,Other Crime
135,HOMICIDE,Other Crime
530,DOMESTIC VIOLENCE,Violent Crime
450,ASSAULT,Violent Crime
250,DRUG OFFENSE,Other Crime
480,IDENTITY THEFT,Violent Crime
272,ARSON,Fire Accident
278,VANDALISM,Other Crime
487,KIDNAPPING,Other Crime
227,IDENTITY THEFT,Violent Crime
194,VEHICLE - STOLEN,Violent Crime
367,SEXUAL ASSAULT,Violent Crime
501,COUNTERFEITING,Other Crime
173,VANDALISM,Other Crime
561,FIREARM OFFENSE,Fire Accident
497,ROBBERY,Violent Crime
463,ILLEGAL POSSESSION,Other Crime
360,TRAFFIC VIOLATION,Traffic Fatality
244,EXTORTION,Other Crime
247,DRUG OFFENSE,Other Crime
398,ROBBERY,Violent Crime
219,DRUG OFFENSE,Other Crime
494,BURGLARY,Other Crime
390,SEXUAL ASSAULT,Violent Crime
415,SHOPLIFTING,Other Crime
340,ARSON,Fire Accident
491,CYBERCRIME,Other Crime
332,ASSAULT,Violent Crime
192,VEHICLE - STOLEN,Violent Crime
168,FIREARM OFFENSE,Fire Accident
198,ILLEGAL POSSESSION,Other Crime
255,FRAUD,Other Crime
244,COUNTERFEITING,Other Crime
529,EXTORTION,Other Crime
311,DRUG OFFENSE,Other Crime
158,SHOPLIFTING,Other Crime
460,FIREARM OFFENSE,Fire Accident
286,FRAUD,Other Crime
213,FRAUD,Other Crime
506,BURGLARY,Other Crime
386,BURGLARY,Other Crime
591,BURGLARY,Other Crime
319,ASSAULT,Violent Crime
366,PUBLIC INTOXICATION,Other Crime
275,PUBLIC INTOXICATION,Other Crime
142,ARSON,Fire Accident
293,ROBBERY,Violent Crime
523,VANDALISM,Other Crime
420,SEXUAL ASSAULT,Violent Crime
579,TRAFFIC VIOLATION,Traffic Fatality
538,SEXUAL ASSAULT,Violent Crime
333,EXTORTION,Other Crime
298,VEHICLE - STOLEN,Violent Crime
184,HOMICIDE,Other Crime
105,COUNTERFEITING,Other Crime
144,PUBLIC INTOXICATION,Other Crime
372,ASSAULT,Violent Crime
123,ILLEGAL POSSESSION,Other Crime
214,ARSON,Fire Accident
203,DOMESTIC VIOLENCE,Violent Crime
152,HOMICIDE,Other Crime
397,VEHICLE - STOLEN,Violent Crime
583,SHOPLIFTING,Other Crime
516,PUBLIC INTOXICATION,Other Crime
468,PUBLIC INTOXICATION,Other Crime
584,BURGLARY,Other Crime
148,IDENTITY THEFT,Violent Crime
259,SEXUAL ASSAULT,Violent Crime
191,TRAFFIC VIOLATION,Traffic Fatality
520,TRAFFIC VIOLATION,Traffic Fatality
377,CYBERCRIME,Other Crime
346,VANDALISM,Other Crime
235,SEXUAL ASSAULT,Violent Crime
275,VANDALISM,Other Crime
138,HOMICIDE,Other Crime
540,HOMICIDE,Other Crime
414,COUNTERFEITING,Other Crime
297,SHOPLIFTING,Other Crime
237,PUBLIC INTOXICATION,Other Crime
311,ASSAULT,Violent Crime
494,SHOPLIFTING,Other Crime
396,EXTORTION,Other Crime
592,IDENTITY THEFT,Violent Crime
157,HOMICIDE,Other Crime
334,DOMESTIC VIOLENCE,Violent Crime
488,EXTORTION,Other Crime
155,VANDALISM,Other Crime
410,VANDALISM,Other Crime
489,CYBERCRIME,Other Crime
448,FRAUD,Other Crime
468,BURGLARY,Other Crime
148,SHOPLIFTING,Other Crime
392,VANDALISM,Other Crime
335,BURGLARY,Other Crime
264,SHOPLIFTING,Other Crime
468,ILLEGAL POSSESSION,Other Crime
497,IDENTITY THEFT,Violent Crime
157,ARSON,Fire Accident
255,HOMICIDE,Other Crime
465,EXTORTION,Other Crime
283,TRAFFIC VIOLATION,Traffic Fatality
243,ASSAULT,Violent Crime
569,DOMESTIC VIOLENCE,Violent Crime
266,TRAFFIC VIOLATION,Traffic Fatality
445,SEXUAL ASSAULT,Violent Crime
490,SEXUAL ASSAULT,Violent Crime
547,VANDALISM,Other Crime
146,SHOPLIFTING,Other Crime
451,DOMESTIC VIOLENCE,Violent Crime
402,IDENTITY THEFT,Violent Crime
528,BURGLARY,Other Crime
321,SEXUAL ASSAULT,Violent Crime
425,VEHICLE - STOLEN,Violent Crime
333,EXTORTION,Other Crime
217,DRUG OFFENSE,Other Crime
239,IDENTITY THEFT,Violent Crime
407,VEHICLE - STOLEN,Violent Crime
160,CYBERCRIME,Other Crime
492,ILLEGAL POSSESSION,Other Crime
161,PUBLIC INTOXICATION,Other Crime
449,VANDALISM,Other Crime
148,VANDALISM,Other Crime
321,PUBLIC INTOXICATION,Other Crime
459,HOMICIDE,Other Crime
289,FIREARM OFFENSE,Fire Accident
596,ARSON,Fire Accident
227,FIREARM OFFENSE,Fire Accident
141,FRAUD,Other Crime
323,SEXUAL ASSAULT,Violent Crime
393,DRUG OFFENSE,Other Crime
156,FIREARM OFFENSE,Fire Accident
546,DOMESTIC VIOLENCE,Violent Crime
387,COUNTERFEITING,Other Crime
100,FIREARM OFFENSE,Fire Accident
562,BURGLARY,Other Crime
504,HOMICIDE,Other Crime
373,KIDNAPPING,Other Crime
222,VANDALISM,Other Crime
402,VANDALISM,Other Crime
404,SEXUAL ASSAULT,Violent Crime
145,VANDALISM,Other Crime
405,VANDALISM,Other Crime
456,FIREARM OFFENSE,Fire Accident
344,EXTORTION,Other Crime
219,COUNTERFEITING,Other Crime
193,SHOPLIFTING,Other Crime
213,COUNTERFEITING,Other Crime
127,ARSON,Fire Accident
404,TRAFFIC VIOLATION,Traffic Fatality
508,KIDNAPPING,Other Crime
569,COUNTERFEITING,Other Crime
394,TRAFFIC VIOLATION,Traffic Fatality
583,SEXUAL ASSAULT,Violent Crime
429,SEXUAL ASSAULT,Violent Crime
406,CYBERCRIME,Other Crime
453,FIREARM OFFENSE,Fire Accident
323,IDENTITY THEFT,Violent Crime
267,HOMICIDE,Other Crime
158,IDENTITY THEFT,Violent Crime
518,BURGLARY,Other Crime
304,ARSON,Fire Accident
108,FRAUD,Other Crime
148,FIREARM OFFENSE,Fire Accident
100,PUBLIC INTOXICATION,Other Crime
361,DOMESTIC VIOLENCE,Violent Crime
284,CYBERCRIME,Other Crime
536,FRAUD,Other Crime
467,VANDALISM,Other Crime
576,SEXUAL ASSAULT,Violent Crime
114,DOMESTIC VIOLENCE,Violent Crime
106,SHOPLIFTING,Other Crime
172,VEHICLE - STOLEN,Violent Crime
312,ASSAULT,Violent Crime
343,ARSON,Fire Accident
473,FIREARM OFFENSE,Fire Accident
580,BURGLARY,Other Crime
305,VANDALISM,Other Crime
458,ILLEGAL POSSESSION,Other Crime
210,SEXUAL ASSAULT,Violent Crime
593,ASSAULT,Violent Crime
471,PUBLIC INTOXICATION,Other Crime
556,HOMICIDE,Other Crime
153,SEXUAL ASSAULT,Violent Crime
333,COUNTERFEITING,Other Crime
262,SEXUAL ASSAULT,Violent Crime
539,ARSON,Fire Accident
474,KIDNAPPING,Other Crime
563,BURGLARY,Other Crime
568,ROBBERY,Violent Crime
115,CYBERCRIME,Other Crime
278,VANDALISM,Other Crime
458,ILLEGAL POSSESSION,Other Crime
459,ILLEGAL POSSESSION,Other Crime
376,IDENTITY THEFT,Violent Crime
222,FIREARM OFFENSE,Fire Accident
142,IDENTITY THEFT,Violent Crime
102,SHOPLIFTING,Other Crime
577,CYBERCRIME,Other Crime
367,DRUG OFFENSE,Other Crime
368,PUBLIC INTOXICATION,Other Crime
160,SEXUAL ASSAULT,Violent Crime
423,ARSON,Fire Accident
502,ASSAULT,Violent Crime
374,COUNTERFEITING,Other Crime
375,FIREARM OFFENSE,Fire Accident
578,IDENTITY THEFT,Violent Crime
565,HOMICIDE,Other Crime
158,BURGLARY,Other Crime
461,SEXUAL ASSAULT,Violent Crime
285,TRAFFIC VIOLATION,Traffic Fatality
494,ILLEGAL POSSESSION,Other Crime
576,FIREARM OFFENSE,Fire Accident
239,SEXUAL ASSAULT,Violent Crime
316,ILLEGAL POSSESSION,Other Crime
150,FIREARM OFFENSE,Fire Accident
104,TRAFFIC VIOLATION,Traffic Fatality
569,ROBBERY,Violent Crime
515,KIDNAPPING,Other Crime
222,ARSON,Fire Accident
519,CYBERCRIME,Other Crime
113,ASSAULT,Violent Crime
308,TRAFFIC VIOLATION,Traffic Fatality
253,TRAFFIC VIOLATION,Traffic Fatality
216,FIREARM OFFENSE,Fire Accident
366,BURGLARY,Other Crime
343,ASSAULT,Violent Crime
105,IDENTITY THEFT,Violent Crime
359,HOMICIDE,Other Crime
452,VANDALISM,Other Crime
338,BURGLARY,Other Crime
561,FIREARM OFFENSE,Fire Accident
144,ASSAULT,Violent Crime
542,HOMICIDE,Other Crime
194,HOMICIDE,Other Crime
525,ILLEGAL POSSESSION,Other Crime
589,ARSON,Fire Accident
128,EXTORTION,Other Crime
142,ILLEGAL POSSESSION,Other Crime
311,EXTORTION,Other Crime
414,FIREARM OFFENSE,Fire Accident
224,ROBBERY,Violent Crime
331,HOMICIDE,Other Crime
394,DRUG OFFENSE,Other Crime
101,DRUG OFFENSE,Other Crime
174,EXTORTION,Other Crime
387,SHOPLIFTING,Other Crime
320,BURGLARY,Other Crime
432,ARSON,Fire Accident
303,PUBLIC INTOXICATION,Other Crime
149,EXTORTION,Other Crime
585,DOMESTIC VIOLENCE,Violent Crime
469,DRUG OFFENSE,Other Crime
380,HOMICIDE,Other Crime
483,KIDNAPPING,Other Crime
513,ILLEGAL POSSESSION,Other Crime
484,HOMICIDE,Other Crime
588,ASSAULT,Violent Crime
545,CYBERCRIME,Other Crime
562,DOMESTIC VIOLENCE,Violent Crime
283,KIDNAPPING,Other Crime
575,ROBBERY,Violent Crime
266,ARSON,Fire Accident
447,VANDALISM,Other Crime
169,ILLEGAL POSSESSION,Other Crime
464,ROBBERY,Violent Crime
186,SHOPLIFTING,Other Crime
420,HOMICIDE,Other Crime
209,DOMESTIC VIOLENCE,Violent Crime
324,EXTORTION,Other Crime
199,ARSON,Fire Accident
488,HOMICIDE,Other Crime
491,TRAFFIC VIOLATION,Traffic Fatality
455,ILLEGAL POSSESSION,Other Crime
268,ROBBERY,Violent Crime
455,VEHICLE - STOLEN,Violent Crime
401,KIDNAPPING,Other Crime
361,BURGLARY,Other Crime
233,PUBLIC INTOXICATION,Other Crime
521,COUNTERFEITING,Other Crime
310,VANDALISM,Other Crime
529,KIDNAPPING,Other Crime
183,BURGLARY,Other Crime
291,ILLEGAL POSSESSION,Other Crime
300,IDENTITY THEFT,Violent Crime
480,CYBERCRIME,Other Crime
387,BURGLARY,Other Crime
167,EXTORTION,Other Crime
336,ASSAULT,Violent Crime
292,BURGLARY,Other Crime
350,DOMESTIC VIOLENCE,Violent Crime
402,VEHICLE - STOLEN,Violent Crime
256,DRUG OFFENSE,Other Crime
393,BURGLARY,Other Crime
284,COUNTERFEITING,Other Crime
176,BURGLARY,Other Crime
294,HOMICIDE,Other Crime
239,DOMESTIC VIOLENCE,Violent Crime
407,ASSAULT,Violent Crime
316,SEXUAL ASSAULT,Violent Crime
595,TRAFFIC VIOLATION,Traffic Fatality
354,PUBLIC INTOXICATION,Other Crime
316,COUNTERFEITING,Other Crime
111,FRAUD,Other Crime
312,SHOPLIFTING,Other Crime
239,IDENTITY THEFT,Violent Crime
235,KIDNAPPING,Other Crime
563,ASSAULT,Violent Crime
385,ARSON,Fire Accident
543,VANDALISM,Other Crime
187,COUNTERFEITING,Other Crime
540,VEHICLE - STOLEN,Violent Crime
151,HOMICIDE,Other Crime
121,VANDALISM,Other Crime
177,COUNTERFEITING,Other Crime
250,EXTORTION,Other Crime
379,DOMESTIC VIOLENCE,Violent Crime
471,FRAUD,Other Crime
580,HOMICIDE,Other Crime
562,DRUG OFFENSE,Other Crime
105,TRAFFIC VIOLATION,Traffic Fatality
170,EXTORTION,Other Crime
447,FIREARM OFFENSE,Fire Accident
207,IDENTITY THEFT,Violent Crime
284,VANDALISM,Other Crime
366,BURGLARY,Other Crime
150,VEHICLE - STOLEN,Violent Crime
470,ROBBERY,Violent Crime
561,CYBERCRIME,Other Crime
382,ROBBERY,Violent Crime
559,ASSAULT,Violent Crime
298,VEHICLE - STOLEN,Violent Crime
404,VEHICLE - STOLEN,Violent Crime
475,ASSAULT,Violent Crime
186,ARSON,Fire Accident
437,IDENTITY THEFT,Violent Crime
187,BURGLARY,Other Crime
330,ASSAULT,Violent Crime
281,ROBBERY,Violent Crime
398,TRAFFIC VIOLATION,Traffic Fatality
193,VEHICLE - STOLEN,Violent Crime
245,TRAFFIC VIOLATION,Traffic Fatality
131,ASSAULT,Violent Crime
295,BURGLARY,Other Crime
136,KIDNAPPING,Other Crime
472,ASSAULT,Violent Crime
118,VANDALISM,Other Crime
307,VEHICLE - STOLEN,Violent Crime
383,BURGLARY,Other Crime
319,SEXUAL ASSAULT,Violent Crime
265,FRAUD,Other Crime
555,ASSAULT,Violent Crime
578,KIDNAPPING,Other Crime
432,TRAFFIC VIOLATION,Traffic Fatality
322,COUNTERFEITING,Other Crime
542,SEXUAL ASSAULT,Violent Crime
309,DOMESTIC VIOLENCE,Violent Crime
307,PUBLIC INTOXICATION,Other Crime
337,ARSON,Fire Accident
155,IDENTITY THEFT,Violent Crime
544,VANDALISM,Other Crime
448,SHOPLIFTING,Other Crime
120,ROBBERY,Violent Crime
518,SHOPLIFTING,Other Crime
489,IDENTITY THEFT,Violent Crime
402,TRAFFIC VIOLATION,Traffic Fatality
524,BURGLARY,Other Crime
465,SHOPLIFTING,Other Crime
568,ARSON,Fire Accident
368,COUNTERFEITING,Other Crime
458,CYBERCRIME,Other Crime
154,KIDNAPPING,Other Crime
238,ARSON,Fire Accident
519,DOMESTIC VIOLENCE,Violent Crime
154,VEHICLE - STOLEN,Violent Crime
496,ILLEGAL POSSESSION,Other Crime
515,VANDALISM,Other Crime
320,EXTORTION,Other Crime
163,TRAFFIC VIOLATION,Traffic Fatality
116,EXTORTION,Other Crime
357,VEHICLE - STOLEN,Violent Crime
553,FRAUD,Other Crime
581,PUBLIC INTOXICATION,Other Crime
570,KIDNAPPING,Other Crime
272,COUNTERFEITING,Other Crime
439,ARSON,Fire Accident
514,PUBLIC INTOXICATION,Other Crime
485,VEHICLE - STOLEN,Violent Crime
421,COUNTERFEITING,Other Crime
201,HOMICIDE,Other Crime
151,FIREARM OFFENSE,Fire Accident
137,TRAFFIC VIOLATION,Traffic Fatality
279,VEHICLE - STOLEN,Violent Crime
552,SHOPLIFTING,Other Crime
353,ROBBERY,Violent Crime
172,KIDNAPPING,Other Crime
300,ILLEGAL POSSESSION,Other Crime
394,KIDNAPPING,Other Crime
346,IDENTITY THEFT,Violent Crime
498,FIREARM OFFENSE,Fire Accident
329,COUNTERFEITING,Other Crime
295,DOMESTIC VIOLENCE,Violent Crime
100,FRAUD,Other Crime
226,FIREARM OFFENSE,Fire Accident
329,FIREARM OFFENSE,Fire Accident
346,PUBLIC INTOXICATION,Other Crime
345,FRAUD,Other Crime
535,EXTORTION,Other Crime
315,CYBERCRIME,Other Crime
146,ROBBERY,Violent Crime
212,EXTORTION,Other Crime
546,VANDALISM,Other Crime
314,PUBLIC INTOXICATION,Other Crime
544,FRAUD,Other Crime
167,HOMICIDE,Other Crime
336,ARSON,Fire Accident
563,PUBLIC INTOXICATION,Other Crime
261,FIREARM OFFENSE,Fire Accident
247,DRUG OFFENSE,Other Crime
306,HOMICIDE,Other Crime
450,VANDALISM,Other Crime
196,VEHICLE - STOLEN,Violent Crime
287,TRAFFIC VIOLATION,Traffic Fatality
564,SEXUAL ASSAULT,Violent Crime
321,CYBERCRIME,Other Crime
113,VEHICLE - STOLEN,Violent Crime
513,PUBLIC INTOXICATION,Other Crime
301,TRAFFIC VIOLATION,Traffic Fatality
241,EXTORTION,Other Crime
312,SHOPLIFTING,Other Crime
317,FRAUD,Other Crime
403,COUNTERFEITING,Other Crime
397,EXTORTION,Other Crime
375,ILLEGAL POSSESSION,Other Crime
500,PUBLIC INTOXICATION,Other Crime
386,KIDNAPPING,Other Crime
440,ASSAULT,Violent Crime
422,ASSAULT,Violent Crime
467,HOMICIDE,Other Crime
454,VANDALISM,Other Crime
522,SEXUAL ASSAULT,Violent Crime
184,ROBBERY,Violent Crime
211,IDENTITY THEFT,Violent Crime
281,DRUG OFFENSE,Other Crime
284,FIREARM OFFENSE,Fire Accident
236,DRUG OFFENSE,Other Crime
136,FIREARM OFFENSE,Fire Accident
571,ASSAULT,Violent Crime
399,HOMICIDE,Other Crime
317,BURGLARY,Other Crime
360,FIREARM OFFENSE,Fire Accident
508,EXTORTION,Other Crime
183,VEHICLE - STOLEN,Violent Crime
146,ASSAULT,Violent Crime
308,ILLEGAL POSSESSION,Other Crime
235,DRUG OFFENSE,Other Crime
544,SEXUAL ASSAULT,Violent Crime
256,ASSAULT,Violent Crime
386,EXTORTION,Other Crime
389,VEHICLE - STOLEN,Violent Crime
449,COUNTERFEITING,Other Crime
386,COUNTERFEITING,Other Crime
580,COUNTERFEITING,Other Crime
235,VANDALISM,Other Crime
281,ROBBERY,Violent Crime
408,DOMESTIC VIOLENCE,Violent Crime
320,DRUG OFFENSE,Other Crime
248,COUNTERFEITING,Other Crime
269,KIDNAPPING,Other Crime
370,IDENTITY THEFT,Violent Crime
230,BURGLARY,Other Crime
361,DRUG OFFENSE,Other Crime
368,FIREARM OFFENSE,Fire Accident
245,FIREARM OFFENSE,Fire Accident
165,IDENTITY THEFT,Violent Crime
592,ASSAULT,Violent Crime
122,IDENTITY THEFT,Violent Crime
430,IDENTITY THEFT,Violent Crime
147,BURGLARY,Other Crime
234,CYBERCRIME,Other Crime
584,KIDNAPPING,Other Crime
415,HOMICIDE,Other Crime
303,FRAUD,Other Crime
367,ASSAULT,Violent Crime
140,IDENTITY THEFT,Violent Crime
470,VANDALISM,Other Crime
120,KIDNAPPING,Other Crime
220,IDENTITY THEFT,Violent Crime
410,CYBERCRIME,Other Crime
555,TRAFFIC VIOLATION,Traffic Fatality
461,EXTORTION,Other Crime
357,SEXUAL ASSAULT,Violent Crime
254,FRAUD,Other Crime
154,IDENTITY THEFT,Violent Crime
503,ASSAULT,Violent Crime
423,ROBBERY,Violent Crime
